Index,Packets,Bytes,Name
51,35519,2273216,arp-ae10.10-i
52,49244,3151616,arp-ae11.10-i
53,29939,1916096,arp-ae12.10-i
54,42481,2718784,arp-ae13.10-i
55,33515,2144960,arp-ae14.10-i
56,31275,2001600,arp-ae15.10-i
57,32071,2052544,arp-ae16.10-i
58,36228,2318592,arp-ae17.10-i
59,30853,1974592,arp-ae18.10-i
60,13303,851392,arp-ae19.10-i
62,28211,1805504,arp-ae20.10-i
63,0,0,arp-ae21.10-i
64,25690,1644160,arp-ae22.10-i
65,28702,1836928,arp-ae23.10-i
66,31192,1996288,arp-ae24.10-i
67,28,1792,arp-ae25.10-i
68,34066,2180224,arp-ae26.10-i
69,50,3200,arp-ae27.10-i
70,28508,1824512,arp-ae28.10-i
71,35885,2296640,arp-ae29.10-i
73,29375,1880000,arp-ae30.10-i
74,35249,2255936,arp-ae31.10-i
75,23,1472,arp-ae32.10-i
76,35537,2274368,arp-ae33.10-i
77,23134,1480576,arp-ae34.10-i
78,38201,2444864,arp-ae35.10-i
79,36916,2362624,arp-ae36.10-i
80,39940,2556160,arp-ae37.10-i
81,32855,2102720,arp-ae38.10-i
82,24,1536,arp-ae39.10-i
84,0,0,arp-ae40.10-i
85,0,0,arp-ae41.10-i
86,0,0,arp-ae42.10-i
87,0,0,arp-ae43.10-i
90,46655,2985920,arp-ae8.10-i
91,41733,2670912,arp-ae9.10-i
51,35556,2275584,arp-ae10.10-i
52,49283,3154112,arp-ae11.10-i
53,29966,1917824,arp-ae12.10-i
54,42513,2720832,arp-ae13.10-i
55,33541,2146624,arp-ae14.10-i
56,31308,2003712,arp-ae15.10-i
57,32106,2054784,arp-ae16.10-i
58,36270,2321280,arp-ae17.10-i
59,30885,1976640,arp-ae18.10-i
60,13303,851392,arp-ae19.10-i
62,28242,1807488,arp-ae20.10-i
63,0,0,arp-ae21.10-i
64,25729,1646656,arp-ae22.10-i
65,28740,1839360,arp-ae23.10-i
66,31235,1999040,arp-ae24.10-i
67,28,1792,arp-ae25.10-i
68,34106,2182784,arp-ae26.10-i
69,50,3200,arp-ae27.10-i
70,28539,1826496,arp-ae28.10-i
71,35919,2298816,arp-ae29.10-i
73,29407,1882048,arp-ae30.10-i
74,35296,2258944,arp-ae31.10-i
75,23,1472,arp-ae32.10-i
76,35579,2277056,arp-ae33.10-i
77,23170,1482880,arp-ae34.10-i
78,38235,2447040,arp-ae35.10-i
79,36938,2364032,arp-ae36.10-i
80,39976,2558464,arp-ae37.10-i
81,32889,2104896,arp-ae38.10-i
82,24,1536,arp-ae39.10-i
84,0,0,arp-ae40.10-i
85,0,0,arp-ae41.10-i
86,0,0,arp-ae42.10-i
87,0,0,arp-ae43.10-i
90,46689,2988096,arp-ae8.10-i
91,41767,2673088,arp-ae9.10-i
51,35587,2277568,arp-ae10.10-i
52,49320,3156480,arp-ae11.10-i
53,29993,1919552,arp-ae12.10-i
54,42541,2722624,arp-ae13.10-i
55,33560,2147840,arp-ae14.10-i
56,31325,2004800,arp-ae15.10-i
57,32119,2055616,arp-ae16.10-i
58,36298,2323072,arp-ae17.10-i
59,30896,1977344,arp-ae18.10-i
60,13303,851392,arp-ae19.10-i
62,28252,1808128,arp-ae20.10-i
63,0,0,arp-ae21.10-i
64,25754,1648256,arp-ae22.10-i
65,28761,1840704,arp-ae23.10-i
66,31259,2000576,arp-ae24.10-i
67,28,1792,arp-ae25.10-i
68,34131,2184384,arp-ae26.10-i
69,50,3200,arp-ae27.10-i
70,28555,1827520,arp-ae28.10-i
71,35939,2300096,arp-ae29.10-i
73,29423,1883072,arp-ae30.10-i
74,35333,2261312,arp-ae31.10-i
75,23,1472,arp-ae32.10-i
76,35610,2279040,arp-ae33.10-i
77,23181,1483584,arp-ae34.10-i
78,38265,2448960,arp-ae35.10-i
79,36959,2365376,arp-ae36.10-i
80,39994,2559616,arp-ae37.10-i
81,32911,2106304,arp-ae38.10-i
82,24,1536,arp-ae39.10-i
84,0,0,arp-ae40.10-i
85,0,0,arp-ae41.10-i
86,0,0,arp-ae42.10-i
87,0,0,arp-ae43.10-i
90,46709,2989376,arp-ae8.10-i
91,41796,2674944,arp-ae9.10-i

